sc,tc,variant,meaning-ar,pinyin-zh,pinyin-ar,example-1,pinyin-zh-1,pinyin-ar-1,example-2,pinyin-zh-2,pinyin-ar-2,example-3,pinyin-zh-3,pinyin-ar-3,example-4,pinyin-zh-4,pinyin-ar-4,example-5,pinyin-zh-5,pinyin-ar-5,colloquial-name,colloquial-pinyin-zh,colloquial-pinyin-ar
人,人,亻,إنسان / ناس,rén,رءن,今,jīn,جين,仁,rén,رءن,休,xiū,شيو,位,wèi,وي,他,tā,تآ,单人旁 / 人字头,dān rén páng,پآنڠ رءن دآن
口,口,,فم / فتحة,kǒu,كءو,古,gǔ,ڠو,可,kě,كه,名,míng,مينڠ,告,gào,ڠآو,吃,chī,تش,口字旁,kǒu zì páng,پآنڠ ز كءو
土,土,,أرض / تراب,tǔ,تو,在,zài,زآي,地,dì,دي,型,xíng,شينڠ,城,chéng,تشءنڠ,地,dì,دي,提土旁,tí tǔ páng,پآنڠ تو تي
女,女,,امرأة / أنثى,nǚ,نو,好,hǎo,حآو,妄,wàng,وآنڠ,始,shǐ,ش,姓,xìng,شينڠ,她,tā,تآ,女子旁,nǚ zǐ páng,پآنڠ ز نو
心,心,"忄, 小",قلب,xīn,شين,必,bì,بي,忙,máng,مآنڠ,忘,wàng,وآنڠ,性,xìng,شينڠ,想,xiǎng,شيآنڠ,竖心旁 / 心字底,shù xīn páng,پآنڠ شين شو
手,手,扌,يد,shǒu,شءو,持,chí,تش,掌,zhǎng,جآنڠ,打,dǎ,دآ,抱,bào,بآو,押,yā,يآ,提手旁 / 手字旁,tí shǒu páng,پآنڠ شءو تي
日,日,,شمس / يوم,rì,ر,早,zǎo,زآو,是,shì,ش,明,míng,مينڠ,时,shí,ش,晚,wǎn,وآن,日字旁,rì zì páng,پآنڠ ز ر
月,月,,قمر / شهر,yuè,يووه,有,yǒu,يو,服,fú,فو,青,qīng,تشينڠ,朝,cháo,تشآو,能,néng,نءنڠ,月字旁,yuè zì páng,پآنڠ ز يووه
木,木,,شجرة,mù,مو,板,bǎn,بآن,根,gēn,ڠءن,本,běn,بءن,林,lín,لين,来,lái,لآي,木字旁,mù zì páng,پآنڠ ز مو
水,水,"氵, 氺",ماء,shuǐ,شوي,永,yǒng,يونڠ,泳,yǒng,يونڠ,海,hǎi,حآي,洋,yáng,يآنڠ,沙,shā,شآ,三点水 / 水字旁,sān diǎn shuǐ,شوي ديآن سآن
火,火,灬,نار,huǒ,خووه,灯,dēng,دءنڠ,炎,yán,يآن,点,diǎn,ديآن,然,rán,رآن,炸,zhà,جآ,火字旁 / 四点底,huǒ zì páng,پآنڠ ز خووه
纟,糸,,حرير,mì,مي,纪,jì,جي,纸,zhǐ,ج,累,lěi,لءي,细,xì,شي,绩,jì,جي,绞丝旁,jiǎo sī páng,پآنڠ س جيآو
艹,艸,,عشب,cǎo,تسآو,花,huā,خوآ,英,yīng,ينڠ,苦,kǔ,كو,草,cǎo,تسآو,茶,chá,تشآ,草字头,cǎo zì tóu,تءو ز تسآو
讠,言,,كلام,yán,يآن,说,shuō,شووه,讲,jiǎng,جيآنڠ,识,shí,ش,评,píng,پينڠ,试,shì,ش,言字旁,yán zì páng,پآنڠ ز يآن
辶,辵,,مشي,chuò,تشووه,迎,yíng,ينڠ,通,tōng,تءونڠ,道,dào,دآو,这,zhè,جه,近,jìn,جين,走之旁,zǒu zhī páng,پآنڠ ج زءو
钅,金,,ذهب / معدن,jīn,جين,银,yín,ين,针,zhēn,جءن,钱,qián,تشيآن,铁,tiě,تيه,钟,zhōng,جءونڠ,金字旁,jīn zì páng,پآنڠ ز جين
刂,刀,刀,سكين,dāo,دآو,分,fēn,فءن,切,qiē,تشيه,别,bié,بيه,利,lì,لي,刻,kè,كه,立刀旁 / 刀字旁,lì dāo páng,پآنڠ دآو لي
宀,宀,,سقف,mián,ميآن,守,shǒu,شءو,家,jiā,جيآ,室,shì,ش,字,zì,ز,宅,zhái,جآي,宝盖头,bǎo gài tóu,تءو ڠآي بآو
贝,貝,,صدفة,bèi,بءي,财,cái,تسآي,贪,tān,تآن,货,huò,خووه,贸,mào,مآو,负,fù,فو,贝字旁,bèi zì páng,پآنڠ ز بءي
一,一,,واحد,yī,ي,三,sān,سآن,上,shàng,شآنڠ,下,xià,شيآ,不,bù,بو,两,liǎng,ليآنڠ,横,héng,خءنڠ
力,力,,قوة,lì,لي,力,lì,لي,加,jiā,جيآ,助,zhù,جو,勉,miǎn,ميآن,动,dòng,دءونڠ,力字旁,lì zì páng,پآنڠ ز لي
又,又,,يد يمنى,yòu,يو,反,fǎn,فآن,取,qǔ,تشوو,受,shòu,شءو,友,yǒu,يو,发,fā,فآ,又字旁,yòu zì páng,پآنڠ ز يو
犭,犬,犬,كلب,quǎn,تشووآن,犯,fàn,فآن,狂,kuáng,كوآنڠ,狗,gǒu,ڠءو,献,xiàn,شيآن,猪,zhū,جو,反犬旁,fǎn quǎn páng,پآنڠ تشووآن فآن
禾,禾,,حبوب / زرع,hé,خه,私,sī,س,科,kē,كه,秒,miǎo,ميآو,秀,xiù,شيو,秘,mì,مي,禾木旁,hé mù páng,پآنڠ مو خه
竹,竹,⺮,خيزران,zhú,جو,笑,xiào,شيآو,第,dì,دي,简,jiǎn,جيآن,筷,kuài,كوآي,算,suàn,سوآن,竹子头,zhú zì tóu,تءو ز جو
虫,虫,,حشرة,chóng,تشءونڠ,强,qiáng,تشيآنڠ,独,dú,دو,蛇,shé,شه,蛋,dàn,دآن,蚊,wén,ون,虫字旁,chóng zì páng,پآنڠ ز تشءونڠ
阝,阜,,تلة (يسار),fù,فو,防,fáng,فآنڠ,阻,zǔ,زو,陆,lù,لو,院,yuàn,يووآن,陈,chén,تشءن,双耳刀 (左),shuāng ěr dāo,دآو ءر شوآنڠ
大,大,,كبير,dà,دآ,天,tiān,تيآن,尖,jiān,جيآن,因,yīn,ين,奇,qí,تشي,美,měi,مءي,大字旁,dà zì páng,پآنڠ ز دآ
广,广,,منزل على منحدر,guǎng,ڠوآنڠ,店,diàn,ديآن,府,fǔ,فو,度,dù,دو,座,zuò,زووه,庭,tíng,تينڠ,广字旁,guǎng zì páng,پآنڠ ز ڠوآنڠ
田,田,,حقل,tián,تيآن,思,sī,س,留,liú,ليو,略,lüè,لووه,番,fān,فآن,累,lěi,لءي,田字旁,tián zì páng,پآنڠ ز تيآن
目,目,,عين,mù,مو,眼,yǎn,يآن,睛,jīng,جينڠ,看,kàn,كآن,相,xiāng,شيآنڠ,省,shěng,شءنڠ,目字旁,mù zì páng,پآنڠ ز مو
石,石,,حجر,shí,ش,砂,shā,شآ,破,pò,پووه,碑,bēi,بءي,矿,kuàng,كوآنڠ,码,mǎ,مآ,石字旁,shí zì páng,پآنڠ ز ش
衤,衣,,ملابس,yī,ي,初,chū,تشو,被,bèi,بءي,裁,cái,تسآي,裤,kù,كو,袜,wà,وآ,衣字旁,yī zì páng,پآنڠ ز ي
足,足,,قدم,zú,زو,跑,pǎo,پآو,跨,kuà,كوآ,跟,gēn,ڠءن,路,lù,لو,距,jù,جوو,足字旁,zú zì páng,پآنڠ ز زو
